Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,25.53125,0,1.119632,17830.315,30.945312,1,933,2306,2271.5,450,690,113.125,631,540,68,95,100,8,0,141,95.88,340.74
0.1,25.53125,0,1.122009,17830.316102,30.948872,1,927,2306.448714,2272.226893,450,690,112.626896,631,540,68,95,100,8,0,141,95.88,340.74
0.2,25.53125,0,1.19971,17830.32,30.97703,1,938,2300.676258,2266.551258,450,690,112.497853,631,540,68,95,100,8,0,141,95.88,340.74
0.3,25.53125,0,1.14753,17830.32,30.978875,1,929,2298.55826,2264.613124,450,690,111.132537,631,540,68,95,100,8,0,141,95.88,340.74
0.4,25.53125,0,1.107544,17830.32,30.965639,1,937,2296.083066,2262.958066,450,690,109.256588,631,540,68,95,100,8,0,141,95.88,340.74
0.5,25.53125,0,1.112101,17830.32,30.947139,1,932,2298.031558,2264.865669,450,690,109.745573,631,540,68,95,100,8,0,141,95.88,340.74
0.6,25.53125,0,1.159671,17830.320744,30.987907,1,931,2299.577689,2265.702689,450,690,111.497522,631,540,68,95,100,8,0,141,95.88,340.74
0.7,25.53125,0,1.192183,17830.322814,31.005965,1,932,2309.75,2275.75,450,690,111.501938,631,540,68,95,100,8,0,141,95.88,340.74
0.8,25.53125,0,1.209964,17830.324884,30.976902,1,934,2289.806696,2256.234134,450,690,110.127319,631,540,68,95,100,8,0,141,95.88,340.74
0.9,25.53125,0,1.269534,17830.325,31.029624,1,940,2293.505981,2259.984649,450,690,110.125,631,540,68,95,100,8,0,141,95.88,340.74
1,25.53125,0,1.157397,17830.325,31.027658,1,932,2284.293464,2250.668464,450,690,110.373273,631,540,68,95,100,8,0,141,95.88,340.74
1.1,25.53125,0,1.19971,17830.325,31.076304,1,934,2310.942126,2277.262245,450,690,110.748834,631,540,68,95,100,8,0,141,95.88,340.74
