Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,139.875,630,519,61,95,100,8,1,141,86.01,326.97
0.1,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.2,24.78125,0,0.48975,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.3,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.4,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.5,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.6,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.7,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.8,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
0.9,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.1,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.2,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.3,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.4,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.5,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.6,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.7,24.78125,0,0.48975,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.8,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
1.9,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2,24.78125,0,0.459964,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.1,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.2,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.3,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.4,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.5,24.78125,0,0.479984,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
2.6,24.78125,0,0.46973,17841.775,0,0,0,2645,2645,450,690,140,630,519,61,95,100,8,1,141,86.01,326.97
