Time [s],AmbientAirTemperature [C],AcceleratorPedalPosition [%],VehicleAcceleration [m/s^2],TotalVehicleDistance [km],VehicleSpeed [kph],CruiseControlActive,MotorSpeed [rpm],RegenTorqueAvailable [Nm],TractionTorqueAvailable [Nm],BatteryMinVoltage [V],BatteryMaxVoltage [V],CommandedMotorTorque [Nm],BatteryVoltage [V],BatteryCurrent [A],BatterySOC [%],BatterySOH [%],BatteryMaxSOC [%],BatteryMinSOC [%],BrakePedalActive,BatteryMaxEnergy [kWh],BatteryEnergy_calc [kWh],MotorPower_calc [kW]
0,24.59375,28,1.229984,17850.97,33.242188,0,1006,2217.125,2085,450,690,416.5,621,586,53,95,100,8,0,141,74.73,363.906
0.1,24.59375,28,1.243746,17850.97,33.283117,0,1002,2207.408261,2081.971336,450,690,396.298813,621,586,53,95,100,8,0,141,74.73,363.906
0.2,24.59375,28,1.223705,17850.97,33.322754,0,1008,2198.276435,2079.720224,450,690,376.935906,621,586,53,95,100,8,0,141,74.73,363.906
0.3,24.59375,28,1.176194,17850.97,33.379006,0,1007,2187.438198,2074,450,690,360.450188,621,586,53,95,100,8,0,141,74.73,363.906
0.4,24.59375,28,1.233474,17850.970638,33.376297,0,1010,2181.891337,2073.108663,450,690,347.304789,621,586,53,95,100,8,0,141,74.73,363.906
0.5,24.59375,28,1.209964,17850.972713,33.454689,0,1009,2177.346398,2072.125,450,690,336.984977,621,586,53,95,100,8,0,141,74.73,363.906
0.6,24.59375,27.73695,1.250003,17850.974788,33.503261,0,1014,2171.173994,2068.622661,450,690,328.780841,621,585,53,95,100,8,0,141,74.73,363.285
0.7,24.59375,27.2,1.279788,17850.975,33.532742,0,1011,2162.970156,2062.835208,450,690,320.947548,621,583,53,95,100,8,0,141,74.73,362.043
0.8,24.59375,27.2,1.213805,17850.975,33.612511,0,1014,2162.793168,2065.418168,450,690,312.332787,622,581,53,95,100,8,0,141,74.73,361.382
0.9,24.59375,27.2,1.159671,17850.975,33.640625,0,1015,2158.792697,2064.25,450,690,303.792161,622,580,53,95,100,8,0,141,74.73,360.76
1,24.59375,26,1.073684,17850.97554,33.63506,0,1016,2144.403821,2052.438003,450,690,295.691415,622,578,53,95,100,8,0,141,74.73,359.516
1.1,24.59375,26,0.921448,17850.98,33.635618,0,1014,2157.951023,2068.887294,450,690,286.557239,622,576,53,95,100,8,0,141,74.73,358.272
1.2,24.59375,26,0.869632,17850.98,33.66985,0,1018,2138.76631,2052.592379,450,690,277.260629,622,575,53,95,100,8,0,141,74.73,357.65
1.3,24.59375,26,0.863625,17850.98,33.740565,0,1015,2146.48814,2063.171331,450,690,268.424442,623,573,53,95,100,8,0,141,74.73,356.979
1.4,24.59375,26,0.813608,17850.981485,33.743638,0,1020,2133.049056,2052.174056,450,690,261.118147,623,571,53,95,100,8,0,141,74.73,355.733
1.5,24.59375,26,0.839847,17850.983563,33.77544,0,1020,2137.75,2059.113729,450,690,254.700837,623,569,53,95,100,8,0,141,74.73,354.487
1.6,24.59375,26,0.839847,17850.985,33.823274,0,1022,2122.31344,2045.31344,450,690,249.324266,623,568,53,95,100,8,0,141,74.73,353.864
1.7,24.59375,26,0.829593,17850.985,33.827633,0,1012,2141.972134,2066.441261,450,690,244.758147,623,567,53,95,100,8,0,141,74.73,353.241
1.8,24.59375,24.8,0.816183,17850.985,33.854857,0,1027,2120.331965,2046.081965,450,690,241.279686,623,567,53,95,100,8,0,141,74.73,353.241
1.9,24.59375,24.8,0.915793,17850.985,33.886735,0,1016,2129.369221,2056.556143,450,690,235.704524,623,566,53,95,100,8,0,141,74.73,352.618
